country,match_type,keyword,campaign,current_bid,sweet_spot_bid,recommended_bid,action,impressions,orders,acos
US,PHRASE,keyword-54013b,US-Campaign-D4EAAF,0.57,0.1604592968007602,0.2876117268501966,decrease,190978,23,0.1018360861973602
US,BROAD,keyword-89c31c,US-Campaign-64235F,0.5,0.1107136970496126,0.2801420838971583,decrease,190874,108,0.0649026995547229
US,PHRASE,keyword-8c6bc4,US-Campaign-2C6BE1,0.78,0.1604592968007602,0.2876117268501966,decrease,190839,44,0.0893979579793538
US,BROAD,keyword-56fae1,US-Campaign-57247F,0.7,0.1107136970496126,0.2801420838971583,decrease,190744,154,0.0806278625514971
CA,BROAD,keyword-05f53e,CA-Campaign-62E195,0.6,0.2935599159074982,0.41,decrease,190532,30,0.0372371477189452
FR,PHRASE,keyword-150448,FR-Campaign-AC46C4,0.15,0.1539078498293515,0.1539078498293515,increase,190367,232,0.0222790994879993
CA,BROAD,kw-4w-4d785a,CA-Campaign-3AEE98,0.19,0.2935599159074982,0.2935599159074982,increase,190131,5,0.094875149308913
FR,BROAD,keyword-7f0539,FR-Campaign-C0AD5F,0.33,0.26,0.2232843137254902,decrease,190054,87,0.0888310027114714
US,PHRASE,kw-3w-a24a4d,Campaign-3E5325,0.24,0.1604592968007602,0.24,maintain,190031,18,0.0806724040859004
US,BROAD,keyword-15af42,US-Campaign-8462F5,0.55,0.1107136970496126,0.2801420838971583,decrease,189997,28,0.07330177509613
US,BROAD,keyword-c7ba4f,US-Campaign-EBAF20,0.58,0.1107136970496126,0.2801420838971583,decrease,189933,40,0.3163700213870442
US,EXACT,kw-5w-ce1134,US-Campaign-00BA82,1.1,0.2222651261781696,1.1,maintain,189532,63,0.2502390787028893
US,BROAD,keyword-c84a22,US-Campaign-026160,0.5,0.1107136970496126,0.2801420838971583,decrease,189187,29,0.0790830605356446
US,BROAD,keyword-66d232,US-Campaign-639CD4,0.45,0.1107136970496126,0.2801420838971583,decrease,189132,42,0.0491396630141376
US,BROAD,keyword-a5e8ec,US-Campaign-D8DEBC,0.45,0.1107136970496126,0.2801420838971583,decrease,188911,53,0.0157631561913392
